"subject" "activity"
"1" 2 "STANDING"
"2" 2 "STANDING"
"3" 2 "STANDING"
"4" 2 "STANDING"
"5" 2 "STANDING"
"6" 2 "STANDING"
"7" 2 "STANDING"
"8" 2 "STANDING"
"9" 2 "STANDING"
"10" 2 "STANDING"
"11" 2 "STANDING"
"12" 2 "STANDING"
"13" 2 "STANDING"
"14" 2 "STANDING"
"15" 2 "STANDING"
"16" 2 "STANDING"
"17" 2 "STANDING"
"18" 2 "STANDING"
"19" 2 "STANDING"
"20" 2 "STANDING"
"21" 2 "STANDING"
"22" 2 "STANDING"
"23" 2 "STANDING"
"24" 2 "STANDING"
"25" 2 "STANDING"
"26" 2 "STANDING"
"27" 2 "STANDING"
"28" 2 "STANDING"
"29" 2 "STANDING"
"30" 2 "STANDING"
"31" 2 "STANDING"
"32" 2 "SITTING"
"33" 2 "SITTING"
"34" 2 "SITTING"
"35" 2 "SITTING"
"36" 2 "SITTING"
"37" 2 "SITTING"
"38" 2 "SITTING"
"39" 2 "SITTING"
"40" 2 "SITTING"
"41" 2 "SITTING"
"42" 2 "SITTING"
"43" 2 "SITTING"
"44" 2 "SITTING"
"45" 2 "SITTING"
"46" 2 "SITTING"
"47" 2 "SITTING"
"48" 2 "SITTING"
"49" 2 "SITTING"
"50" 2 "SITTING"
"51" 2 "SITTING"
"52" 2 "SITTING"
"53" 2 "SITTING"
"54" 2 "SITTING"
"55" 2 "SITTING"
"56" 2 "LAYING"
"57" 2 "LAYING"
"58" 2 "LAYING"
"59" 2 "LAYING"
"60" 2 "LAYING"
"61" 2 "LAYING"
"62" 2 "LAYING"
"63" 2 "LAYING"
"64" 2 "LAYING"
"65" 2 "LAYING"
"66" 2 "LAYING"
"67" 2 "LAYING"
"68" 2 "LAYING"
"69" 2 "LAYING"
"70" 2 "LAYING"
"71" 2 "LAYING"
"72" 2 "LAYING"
"73" 2 "LAYING"
"74" 2 "LAYING"
"75" 2 "LAYING"
"76" 2 "LAYING"
"77" 2 "LAYING"
"78" 2 "LAYING"
"79" 2 "LAYING"
"80" 2 "WALKING"
"81" 2 "WALKING"
"82" 2 "WALKING"
"83" 2 "WALKING"
"84" 2 "WALKING"
"85" 2 "WALKING"
"86" 2 "WALKING"
"87" 2 "WALKING"
"88" 2 "WALKING"
"89" 2 "WALKING"
"90" 2 "WALKING"
"91" 2 "WALKING"
"92" 2 "WALKING"
"93" 2 "WALKING"
"94" 2 "WALKING"
"95" 2 "WALKING"
"96" 2 "WALKING"
"97" 2 "WALKING"
"98" 2 "WALKING"
"99" 2 "WALKING"
"100" 2 "WALKING"
"101" 2 "WALKING"
"102" 2 "WALKING"
"103" 2 "WALKING"
"104" 2 "WALKING"
"105" 2 "WALKING"
"106" 2 "WALKING"
"107" 2 "WALKING"
"108" 2 "WALKING"
"109" 2 "WALKING"
"110" 2 "WALKING_DOWNSTAIRS"
"111" 2 "WALKING_DOWNSTAIRS"
"112" 2 "WALKING_DOWNSTAIRS"
"113" 2 "WALKING_DOWNSTAIRS"
"114" 2 "WALKING_DOWNSTAIRS"
"115" 2 "WALKING_DOWNSTAIRS"
"116" 2 "WALKING_DOWNSTAIRS"
"117" 2 "WALKING_DOWNSTAIRS"
"118" 2 "WALKING_DOWNSTAIRS"
"119" 2 "WALKING_DOWNSTAIRS"
"120" 2 "WALKING_DOWNSTAIRS"
"121" 2 "WALKING_DOWNSTAIRS"
"122" 2 "WALKING_DOWNSTAIRS"
"123" 2 "WALKING_DOWNSTAIRS"
"124" 2 "WALKING_DOWNSTAIRS"
"125" 2 "WALKING_DOWNSTAIRS"
"126" 2 "WALKING_DOWNSTAIRS"
"127" 2 "WALKING_DOWNSTAIRS"
"128" 2 "WALKING_DOWNSTAIRS"
"129" 2 "WALKING_DOWNSTAIRS"
"130" 2 "WALKING_DOWNSTAIRS"
"131" 2 "WALKING_DOWNSTAIRS"
"132" 2 "WALKING_DOWNSTAIRS"
"133" 2 "WALKING_DOWNSTAIRS"
"134" 2 "WALKING_UPSTAIRS"
"135" 2 "WALKING_UPSTAIRS"
"136" 2 "WALKING_UPSTAIRS"
"137" 2 "WALKING_UPSTAIRS"
"138" 2 "WALKING_UPSTAIRS"
"139" 2 "WALKING_UPSTAIRS"
"140" 2 "WALKING_UPSTAIRS"
"141" 2 "WALKING_UPSTAIRS"
"142" 2 "WALKING_UPSTAIRS"
"143" 2 "WALKING_UPSTAIRS"
"144" 2 "WALKING_UPSTAIRS"
"145" 2 "WALKING_UPSTAIRS"
"146" 2 "WALKING_UPSTAIRS"
"147" 2 "WALKING_UPSTAIRS"
"148" 2 "WALKING_UPSTAIRS"
"149" 2 "WALKING_UPSTAIRS"
"150" 2 "WALKING_UPSTAIRS"
"151" 2 "WALKING_UPSTAIRS"
"152" 2 "WALKING_UPSTAIRS"
"153" 2 "WALKING_UPSTAIRS"
"154" 2 "WALKING_UPSTAIRS"
"155" 2 "WALKING_UPSTAIRS"
"156" 2 "WALKING_UPSTAIRS"
"157" 2 "WALKING_UPSTAIRS"
"158" 2 "WALKING_UPSTAIRS"
"159" 2 "STANDING"
"160" 2 "STANDING"
"161" 2 "STANDING"
"162" 2 "STANDING"
"163" 2 "STANDING"
"164" 2 "STANDING"
"165" 2 "STANDING"
"166" 2 "STANDING"
"167" 2 "STANDING"
"168" 2 "STANDING"
"169" 2 "STANDING"
"170" 2 "STANDING"
"171" 2 "STANDING"
"172" 2 "STANDING"
"173" 2 "STANDING"
"174" 2 "STANDING"
"175" 2 "STANDING"
"176" 2 "STANDING"
"177" 2 "STANDING"
"178" 2 "STANDING"
"179" 2 "STANDING"
"180" 2 "STANDING"
"181" 2 "STANDING"
"182" 2 "SITTING"
"183" 2 "SITTING"
"184" 2 "SITTING"
"185" 2 "SITTING"
"186" 2 "SITTING"
"187" 2 "SITTING"
"188" 2 "SITTING"
"189" 2 "SITTING"
"190" 2 "SITTING"
"191" 2 "SITTING"
"192" 2 "SITTING"
"193" 2 "SITTING"
"194" 2 "SITTING"
"195" 2 "SITTING"
"196" 2 "SITTING"
"197" 2 "SITTING"
"198" 2 "SITTING"
"199" 2 "SITTING"
"200" 2 "SITTING"
"201" 2 "SITTING"
"202" 2 "SITTING"
"203" 2 "SITTING"
"204" 2 "LAYING"
"205" 2 "LAYING"
"206" 2 "LAYING"
"207" 2 "LAYING"
"208" 2 "LAYING"
"209" 2 "LAYING"
"210" 2 "LAYING"
"211" 2 "LAYING"
"212" 2 "LAYING"
"213" 2 "LAYING"
"214" 2 "LAYING"
"215" 2 "LAYING"
